,dir,idx,psnr,ssim,time,score
144,0092_004_IP_00640_00125_3200_L,0,54.54733,0.9966,3.31min,85.11954666666668
145,0092_004_IP_00640_00125_3200_L,1,54.6366,0.99661,3.31min,85.35860000000001
146,0094_005_N6_00100_00050_3200_L,0,59.07763,0.99873,3.56min,97.41334666666667
147,0094_005_N6_00100_00050_3200_L,1,58.46613,0.99872,3.57min,95.78168000000001
148,0096_005_N6_01600_01000_3200_L,0,50.42011,0.99036,3.57min,73.48962666666667
149,0096_005_N6_01600_01000_3200_L,1,50.21617,0.99024,3.57min,72.93378666666666
150,0097_005_N6_03200_02000_3200_L,0,46.62466,0.97763,3.57min,62.09542666666666
151,0097_005_N6_03200_02000_3200_L,1,46.81111,0.9783,3.57min,62.659626666666654
152,0098_005_G4_00100_00050_3200_N,0,45.85234,0.99075,4.32min,61.34790666666665
153,0098_005_G4_00100_00050_3200_N,1,45.42855,0.99022,4.33min,60.16480000000001
154,0099_005_G4_00400_00200_3200_N,0,45.97966,0.98848,4.32min,61.46042666666668
155,0099_005_G4_00400_00200_3200_N,1,45.44692,0.98845,4.32min,60.036786666666664
156,0101_005_S6_00100_00050_4400_L,0,50.00609,0.99484,4.36min,72.83357333333333
157,0101_005_S6_00100_00050_4400_L,1,50.37226,0.99508,4.36min,73.83402666666666
158,0102_005_S6_00400_00200_4400_L,0,49.54116,0.99176,4.37min,71.28575999999998
159,0102_005_S6_00400_00200_4400_L,1,49.52746,0.99159,4.36min,71.23222666666665
160,0104_005_S6_03200_01600_4400_L,0,41.59505,0.94709,4.36min,45.62913333333333
161,0104_005_S6_03200_01600_4400_L,1,41.56684,0.94695,4.35min,45.53990666666666
162,0105_005_GP_00100_00100_4400_N,0,47.33866,0.99159,3.36min,65.39542666666665
163,0105_005_GP_00100_00100_4400_N,1,47.71946,0.99178,3.36min,66.42989333333333
164,0106_005_GP_00400_00400_4400_N,0,46.82417,0.98984,3.36min,63.848453333333346
165,0106_005_GP_00400_00400_4400_N,1,46.86372,0.98963,3.37min,63.93292
166,0107_005_GP_01600_01600_4400_N,0,44.45432,0.97967,3.36min,56.51185333333334
167,0107_005_GP_01600_01600_4400_N,1,44.46475,0.97978,3.36min,56.55066666666667
168,0108_005_GP_06400_06400_4400_N,0,40.74016,0.95026,3.36min,43.666426666666666
169,0108_005_GP_06400_06400_4400_N,1,40.73387,0.94991,3.36min,43.614653333333344
170,0110_005_IP_00100_00100_5500_L,0,53.70006,0.99638,3.31min,82.83816
171,0110_005_IP_00100_00100_5500_L,1,53.70258,0.9964,3.31min,82.84687999999998
172,0111_005_IP_00400_00400_5500_L,0,55.64836,0.99629,3.31min,88.02462666666665
173,0111_005_IP_00400_00400_5500_L,1,55.6628,0.9963,3.31min,88.06413333333333
174,0113_005_IP_01600_01520_5500_L,0,61.2465,0.99624,3.31min,102.948
175,0113_005_IP_01600_01520_5500_L,1,61.22645,0.99625,3.31min,102.89553333333332
176,0114_005_IP_00100_00200_5500_N,0,45.13764,0.98281,3.31min,58.64803999999999
177,0114_005_IP_00100_00200_5500_N,1,45.13338,0.98281,3.31min,58.63668
178,0115_005_IP_00400_00750_5500_N,0,49.70297,0.99131,3.31min,71.67225333333333
179,0115_005_IP_00400_00750_5500_N,1,49.70911,0.99122,3.31min,71.67962666666668
180,0116_005_IP_00800_01520_5500_N,0,54.50573,0.99571,3.31min,84.91961333333333
181,0116_005_IP_00800_01520_5500_N,1,54.47058,0.99577,3.31min,84.83188
182,0117_005_IP_01600_04160_5500_N,0,59.6358,0.9966,3.31min,98.68880000000001
183,0117_005_IP_01600_04160_5500_N,1,59.72018,0.99662,3.31min,98.91581333333333
184,0118_006_N6_00100_00025_3200_L,0,57.61619,0.99864,3.57min,93.50717333333334
185,0118_006_N6_00100_00025_3200_L,1,57.57129,0.99867,3.57min,93.39043999999998
186,0120_006_N6_01600_00400_3200_L,0,49.42755,0.98898,3.57min,70.70479999999999
187,0120_006_N6_01600_00400_3200_L,1,49.24017,0.98909,3.57min,70.21612
188,0121_006_N6_03200_01000_3200_L,0,46.33834,0.97721,3.57min,61.289906666666674
189,0121_006_N6_03200_01000_3200_L,1,46.18681,0.97692,3.57min,60.85682666666666
190,0122_006_G4_00100_00050_3200_N,0,48.42798,0.99418,4.33min,68.55927999999999
191,0122_006_G4_00100_00050_3200_N,1,48.5447,0.99428,4.32min,68.88053333333333
192,0123_006_G4_00400_00160_3200_N,0,47.03081,0.99215,4.32min,64.63049333333333
193,0123_006_G4_00400_00160_3200_N,1,46.99981,0.99211,4.32min,64.54382666666666
194,0125_006_S6_00100_00050_4400_L,0,52.90034,0.9971,4.36min,80.77757333333334
195,0125_006_S6_00100_00050_4400_L,1,53.0667,0.99711,4.37min,81.2222
196,0126_006_S6_00400_00200_4400_L,0,50.36043,0.99307,4.36min,73.60148000000001
197,0126_006_S6_00400_00200_4400_L,1,50.39003,0.993,4.37min,73.67341333333334
198,0127_006_S6_01600_00800_4400_L,0,46.35923,0.98235,4.37min,61.85961333333332
199,0127_006_S6_01600_00800_4400_L,1,46.41672,0.9823,4.35min,62.007919999999984
200,0129_006_GP_00100_00100_4400_N,0,53.52219,0.99716,3.36min,82.44184000000001
201,0129_006_GP_00100_00100_4400_N,1,53.68269,0.99717,3.36min,82.87084
202,0130_006_GP_00400_00400_4400_N,0,52.00591,0.99541,3.37min,78.22342666666667
203,0130_006_GP_00400_00400_4400_N,1,52.09493,0.99542,3.37min,78.46181333333332
204,0132_006_GP_00100_00200_5500_L,0,64.45767,0.99835,3.36min,111.72211999999999
205,0132_006_GP_00100_00200_5500_L,1,64.49363,0.99835,3.36min,111.81801333333333
206,0133_006_GP_00800_01600_5500_L,0,59.64822,0.99494,3.36min,98.55592000000001
207,0133_006_GP_00800_01600_5500_L,1,59.6931,0.99492,3.36min,98.67360000000001
208,0134_006_IP_00100_00100_5500_N,0,47.41613,0.98933,3.31min,65.37601333333333
209,0134_006_IP_00100_00100_5500_N,1,47.36335,0.98934,3.32min,65.23626666666665
210,0135_006_IP_00400_00400_5500_N,0,51.87953,0.99505,3.31min,77.85041333333334
211,0135_006_IP_00400_00400_5500_N,1,51.8885,0.99504,3.31min,77.87333333333333
212,0136_006_IP_00800_00800_5500_N,0,56.14005,0.99742,3.31min,89.4488
213,0136_006_IP_00800_00800_5500_N,1,56.1151,0.99742,3.31min,89.38226666666665
214,0137_006_IP_01600_01600_5500_N,0,59.48164,0.99773,3.31min,98.39070666666667
215,0137_006_IP_01600_01600_5500_N,1,59.4397,0.99777,3.31min,98.28286666666666
216,0138_006_IP_00100_00100_3200_L,0,59.93991,0.99858,3.31min,99.69775999999999
217,0138_006_IP_00100_00100_3200_L,1,59.77286,0.99857,3.31min,99.25129333333334
218,0139_006_IP_00200_00200_3200_L,0,58.86611,0.99767,3.31min,96.74329333333334
219,0139_006_IP_00200_00200_3200_L,1,58.85784,0.99767,3.31min,96.72124000000001
220,0140_006_IP_00800_00800_3200_L,0,63.13896,0.99727,3.31min,108.09755999999999
221,0140_006_IP_00800_00800_3200_L,1,63.12102,0.99727,3.31min,108.04972
